dep;jour;pop;T
48;2020-05-19;76286;55
49;2020-05-19;815881;491
50;2020-05-19;490669;264
51;2020-05-19;563823;433
52;2020-05-19;169250;106
53;2020-05-19;305365;156
54;2020-05-19;730398;896
55;2020-05-19;181641;205
56;2020-05-19;755566;401
57;2020-05-19;1035866;1150
58;2020-05-19;199596;167
59;2020-05-19;2588988;1960
60;2020-05-19;825077;569
61;2020-05-19;276903;211
62;2020-05-19;1452778;800
63;2020-05-19;660240;433
64;2020-05-19;683169;607
65;2020-05-19;226839;123
66;2020-05-19;479000;229
67;2020-05-19;1132607;1381
68;2020-05-19;763204;634
69;2020-05-19;1876051;1545
70;2020-05-19;233194;255
71;2020-05-19;547824;497
72;2020-05-19;560227;381
73;2020-05-19;432548;210
74;2020-05-19;828405;740
75;2020-05-19;2148271;2129
76;2020-05-19;1243788;479
77;2020-05-19;1423607;1213
78;2020-05-19;1448625;1310
79;2020-05-19;372627;518
80;2020-05-19;569769;455
81;2020-05-19;387898;270
82;2020-05-19;262618;180
83;2020-05-19;1073836;766
84;2020-05-19;560997;258
85;2020-05-19;683187;379
86;2020-05-19;437398;703
87;2020-05-19;370774;148
88;2020-05-19;359520;387
89;2020-05-19;332096;449
90;2020-05-19;140145;123
91;2020-05-19;1319401;1079
92;2020-05-19;1613762;1812
93;2020-05-19;1670149;1183
94;2020-05-19;1406041;1233
95;2020-05-19;1248354;1052
971;2020-05-19;376879;99
972;2020-05-19;358749;146
973;2020-05-19;290691;1
974;2020-05-19;859959;437
975;2020-05-19;5997;0
976;2020-05-19;279471;3
977;2020-05-19;9961;1
978;2020-05-19;35334;5
01;2020-05-20;656955;511
02;2020-05-20;526050;249
03;2020-05-20;331315;167
04;2020-05-20;165197;117
05;2020-05-20;141756;77
06;2020-05-20;1079396;1403
07;2020-05-20;326875;112
08;2020-05-20;265531;155
09;2020-05-20;152398;43
10;2020-05-20;309907;282
11;2020-05-20;372705;278
12;2020-05-20;278360;138
13;2020-05-20;2034469;3545
14;2020-05-20;691453;616
15;2020-05-20;142811;72
16;2020-05-20;348180;142
17;2020-05-20;647080;233
18;2020-05-20;296404;216
19;2020-05-20;240336;207
21;2020-05-20;532886;361
22;2020-05-20;596186;634
23;2020-05-20;116270;170
24;2020-05-20;408393;182
25;2020-05-20;539449;391
26;2020-05-20;520560;253
27;2020-05-20;600687;221
28;2020-05-20;429425;247
29;2020-05-20;906554;521
2A;2020-05-20;162421;159
2B;2020-05-20;182258;128
30;2020-05-20;748468;545
31;2020-05-20;1400935;1018
32;2020-05-20;190040;264
33;2020-05-20;1633440;1209
34;2020-05-20;1176145;1466
35;2020-05-20;1082073;473
36;2020-05-20;217139;117
37;2020-05-20;605380;616
38;2020-05-20;1264979;746
39;2020-05-20;257849;178
40;2020-05-20;411979;186
41;2020-05-20;327835;175
42;2020-05-20;764737;480
43;2020-05-20;226901;81
44;2020-05-20;1437137;750
45;2020-05-20;682890;710
46;2020-05-20;173166;83
47;2020-05-20;330336;143
48;2020-05-20;76286;46
49;2020-05-20;815881;551
50;2020-05-20;490669;236
51;2020-05-20;563823;473
52;2020-05-20;169250;79
53;2020-05-20;305365;135
54;2020-05-20;730398;1091
55;2020-05-20;181641;337
56;2020-05-20;755566;390
57;2020-05-20;1035866;1294
58;2020-05-20;199596;196
59;2020-05-20;2588988;2895
60;2020-05-20;825077;478
61;2020-05-20;276903;173
62;2020-05-20;1452778;921
63;2020-05-20;660240;480
64;2020-05-20;683169;632
65;2020-05-20;226839;137
66;2020-05-20;479000;266
67;2020-05-20;1132607;1150
68;2020-05-20;763204;745
69;2020-05-20;1876051;1496
70;2020-05-20;233194;180
71;2020-05-20;547824;641
72;2020-05-20;560227;270
73;2020-05-20;432548;245
74;2020-05-20;828405;543
75;2020-05-20;2148271;2131
76;2020-05-20;1243788;543
77;2020-05-20;1423607;1207
78;2020-05-20;1448625;1159
79;2020-05-20;372627;309
80;2020-05-20;569769;463
81;2020-05-20;387898;335
82;2020-05-20;262618;158
83;2020-05-20;1073836;711
84;2020-05-20;560997;263
85;2020-05-20;683187;494
86;2020-05-20;437398;553
87;2020-05-20;370774;148
88;2020-05-20;359520;334
89;2020-05-20;332096;428
90;2020-05-20;140145;79
91;2020-05-20;1319401;1051
92;2020-05-20;1613762;1702
93;2020-05-20;1670149;1172
94;2020-05-20;1406041;1226
95;2020-05-20;1248354;863
971;2020-05-20;376879;141
972;2020-05-20;358749;228
973;2020-05-20;290691;10
974;2020-05-20;859959;597
975;2020-05-20;5997;0
976;2020-05-20;279471;26
977;2020-05-20;9961;2
978;2020-05-20;35334;3
01;2020-05-21;656955;45
02;2020-05-21;526050;89
03;2020-05-21;331315;20
04;2020-05-21;165197;19
05;2020-05-21;141756;15
06;2020-05-21;1079396;160
07;2020-05-21;326875;20
08;2020-05-21;265531;73
09;2020-05-21;152398;8
10;2020-05-21;309907;12
11;2020-05-21;372705;173
12;2020-05-21;278360;10
13;2020-05-21;2034469;794
14;2020-05-21;691453;198
15;2020-05-21;142811;4
16;2020-05-21;348180;39
17;2020-05-21;647080;25
18;2020-05-21;296404;15
19;2020-05-21;240336;22
21;2020-05-21;532886;75
22;2020-05-21;596186;187
23;2020-05-21;116270;14
24;2020-05-21;408393;39
25;2020-05-21;539449;92
26;2020-05-21;520560;33
27;2020-05-21;600687;50
28;2020-05-21;429425;42
29;2020-05-21;906554;77
2A;2020-05-21;162421;35
2B;2020-05-21;182258;12
30;2020-05-21;748468;94
31;2020-05-21;1400935;135
32;2020-05-21;190040;30
33;2020-05-21;1633440;186
34;2020-05-21;1176145;198
35;2020-05-21;1082073;83
36;2020-05-21;217139;7
37;2020-05-21;605380;120
38;2020-05-21;1264979;61
39;2020-05-21;257849;47
40;2020-05-21;411979;9
41;2020-05-21;327835;31
42;2020-05-21;764737;47
43;2020-05-21;226901;10
44;2020-05-21;1437137;154
45;2020-05-21;682890;164
46;2020-05-21;173166;7
47;2020-05-21;330336;28
48;2020-05-21;76286;39
49;2020-05-21;815881;93
50;2020-05-21;490669;29
51;2020-05-21;563823;41
52;2020-05-21;169250;6
53;2020-05-21;305365;42
54;2020-05-21;730398;190
55;2020-05-21;181641;19
56;2020-05-21;755566;90
57;2020-05-21;1035866;185
58;2020-05-21;199596;34
59;2020-05-21;2588988;737
60;2020-05-21;825077;125
61;2020-05-21;276903;52
